module_id,cpus,overall_size,data_parts,avg_size,max_size,execution_time
4,0.5,155722951,3948,39443,73336,818.788
4,0.5,30622827,1392,21999,42012,157.111
4,0.5,42433106,544,78002,133085,111.376
4,0.5,121433829,3303,36764,50716,694.506
4,0.5,13267852,249,53284,64886,64.709
4,0.5,16162650,324,49884,51988,73.213
4,0.5,10720307,548,19562,23809,45.681
4,0.5,22953357,685,33508,45755,92.899
4,0.5,15496975,274,56558,89862,62.408
4,0.5,302896266,601,503987,587278,1196.069
